id,x_survey,y_survey,E,N,lon,lat
R_1_83,294.627825494395,4071.66401937822,824448.7098252,479979.54667599,-72.0772074172743,4.33677710430485
R_1_84,294.627825494395,4120.72021238278,824448.7098252,480028.602868995,-72.0772057124634,4.33722032441764
R_1_85,294.627825494395,4169.77640538734,824448.7098252,480077.659061999,-72.0772040074766,4.33766354452458
R_1_86,294.627825494395,4218.83259839189,824448.7098252,480126.715255004,-72.0772023023139,4.33810676462565
R_1_87,294.627825494395,4267.88879139645,824448.7098252,480175.771448009,-72.0772005969753,4.33854998472085
R_1_88,294.627825494395,4316.94498440101,824448.7098252,480224.827641013,-72.0771988914608,4.3389932048102
R_1_89,294.627825494395,4366.00117740556,824448.7098252,480273.883834018,-72.0771971857705,4.33943642489368
R_1_90,294.627825494395,4415.05737041012,824448.7098252,480322.940027022,-72.0771954799042,4.33987964497129
R_1_91,294.627825494395,4464.11356341468,824448.7098252,480371.996220027,-72.0771937738622,4.34032286504304
R_1_92,294.627825494395,4513.16975641923,824448.7098252,480421.052413031,-72.0771920676442,4.34076608510893
R_1_93,294.627825494395,4562.22594942379,824448.7098252,480470.108606036,-72.0771903612503,4.34120930516894
R_1_94,294.627825494395,4611.28214242835,824448.7098252,480519.164799041,-72.0771886546806,4.34165252522309
R_1_95,294.627825494395,4660.3383354329,824448.7098252,480568.220992045,-72.0771869479349,4.34209574527138
R_1_96,294.627825494395,4709.39452843746,824448.7098252,480617.27718505,-72.0771852410134,4.34253896531379
