id,E,N,lon,lat
R_1_149,824448.7098251976,483217.2554142907,-72.0770945224709,4.366029619148989
R_1_150,824448.7098252022,483266.3116072959,-72.0770928060509,4.36647283887365
R_1_151,824448.709825204,483315.36780029995,-72.077091089455,4.3669160585924
R_1_152,824448.709825204,483364.4239933052,-72.0770893726832,4.36735927830526
R_1_153,824448.709825194,483413.48018630967,-72.0770876557356,4.367802498012209
R_1_154,824448.7098252035,483462.53637931444,-72.0770859386119,4.36824571771326
R_1_155,824448.7098251998,483511.59257231845,-72.0770842213124,4.3686889374084
R_1_156,824448.7098251944,483560.6487653227,-72.077082503837,4.369132157097639
R_1_157,824448.7098251998,483609.70495832764,-72.0770807861856,4.369575376780979
R_1_158,824448.7098252033,483658.76115133194,-72.0770790683583,4.370018596458409
R_1_159,824448.7098251933,483707.8173443371,-72.0770773503552,4.37046181612994
R_1_160,824448.7098252026,483756.87353734154,-72.077075632176,4.37090503579556
R_1_161,824448.7098252013,483805.92973034567,-72.07707391382101,4.37134825545527
R_1_162,824448.7098251977,483854.98592335073,-72.0770721952901,4.371791475109079
R_1_163,824448.7098252019,483904.04211635544,-72.0770704765832,4.37223469475698
R_1_164,824448.7098251939,483953.0983093589,-72.0770687577005,4.372677914398959
R_1_165,824448.7098251947,484002.1545023645,-72.0770670386418,4.373121134035049
R_1_166,824448.7098251947,484051.2106953681,-72.0770653194072,4.373564353665209
R_1_167,824448.7098252007,484100.2668883727,-72.0770635999966,4.37400757328947
R_1_168,824448.709825197,484149.3230813772,-72.0770618804102,4.374450792907819
